CMDLINE python3 train.py
MEM 2478.050781 1720019080.4691
MEM 2478.050781 1720019080.5731
MEM 2478.050781 1720019080.6754
MEM 2581.175781 1720019080.7771
MEM 2670.050781 1720019080.8780
MEM 2670.050781 1720019080.9811
MEM 2670.050781 1720019081.0852
MEM 2670.050781 1720019081.1891
MEM 2670.050781 1720019081.2920
MEM 2670.050781 1720019081.3932
MEM 2670.050781 1720019081.4971
MEM 2670.050781 1720019081.6011
MEM 2670.050781 1720019081.7051
MEM 2670.050781 1720019081.8086
MEM 2670.050781 1720019081.9093
MEM 2670.050781 1720019082.0131
MEM 2670.050781 1720019082.1171
MEM 2670.050781 1720019082.2211
MEM 2670.050781 1720019082.3251
MEM 2670.050781 1720019082.4293
MEM 2670.050781 1720019082.5331
MEM 2670.050781 1720019082.6371
MEM 2670.050781 1720019082.7411
MEM 2670.050781 1720019082.8451
MEM 2670.050781 1720019082.9491
MEM 2670.050781 1720019083.0530
MEM 2763.300781 1720019083.1572
