CMDLINE python3 scripts/generate_text.py
MEM 1780.597656 1719625769.3817
MEM 1740.605469 1719625769.4826
MEM 1740.605469 1719625769.5865
MEM 1740.605469 1719625769.6912
MEM 1740.605469 1719625769.7946
MEM 1740.605469 1719625769.8985
MEM 1740.605469 1719625770.0026
MEM 1740.605469 1719625770.1034
MEM 1774.355469 1719625770.2065
MEM 1854.855469 1719625770.3106
MEM 2010.566406 1719625770.4114
MEM 1884.710938 1719625770.5145
MEM 2036.210938 1719625770.6185
MEM 2024.363281 1719625770.7226
MEM 1889.250000 1719625770.8269
MEM 1925.875000 1719625770.9306
MEM 1963.125000 1719625771.0350
MEM 1999.250000 1719625771.1378
MEM 2014.125000 1719625771.2426
MEM 2018.375000 1719625771.3466
MEM 1892.648438 1719625771.4474
MEM 1870.417969 1719625771.5482
MEM 1884.667969 1719625771.6491
MEM 1893.167969 1719625771.7499
MEM 1856.621094 1719625771.8505
MEM 1820.656250 1719625771.9547
MEM 1820.656250 1719625772.0556
MEM 1820.656250 1719625772.1564
MEM 1820.656250 1719625772.2585
MEM 1820.656250 1719625772.3625
MEM 1820.656250 1719625772.4665
MEM 1820.656250 1719625772.5706
MEM 1820.656250 1719625772.6746
MEM 1820.656250 1719625772.7785
MEM 1820.656250 1719625772.8826
MEM 1863.023438 1719625772.9866
MEM 1917.441406 1719625773.0874
MEM 1980.691406 1719625773.1900
MEM 1980.691406 1719625773.2909
MEM 2002.066406 1719625773.3945
MEM 2023.453125 1719625773.4985
MEM 1916.601562 1719625773.6026
MEM 1916.601562 1719625773.7065
MEM 1916.601562 1719625773.8096
MEM 1916.601562 1719625773.9105
MEM 1916.601562 1719625774.0134
MEM 1916.601562 1719625774.1146
MEM 1916.601562 1719625774.2186
MEM 1916.601562 1719625774.3230
MEM 1916.601562 1719625774.4265
MEM 1884.597656 1719625774.5274
MEM 1980.597656 1719625774.6286
MEM 1980.597656 1719625774.7306
MEM 1990.804688 1719625774.8314
MEM 1932.679688 1719625774.9345
MEM 1932.679688 1719625775.0386
MEM 1932.679688 1719625775.1427
MEM 1932.679688 1719625775.2465
MEM 1932.679688 1719625775.3506
MEM 1932.679688 1719625775.4525
MEM 1932.679688 1719625775.5545
MEM 1932.679688 1719625775.6566
MEM 1993.054688 1719625775.7585
MEM 2071.554688 1719625775.8625
MEM 2114.136719 1719625775.9666
MEM 2095.753906 1719625776.0706
MEM 2278.128906 1719625776.1746
MEM 2291.207031 1719625776.2786
MEM 2092.828125 1719625776.3826
MEM 2129.828125 1719625776.4869
MEM 2167.078125 1719625776.5909
MEM 2198.578125 1719625776.6922
MEM 2207.328125 1719625776.7945
MEM 2211.328125 1719625776.8986
MEM 1948.730469 1719625776.9995
MEM 2076.605469 1719625777.1026
MEM 2076.605469 1719625777.2036
MEM 2092.605469 1719625777.3066
MEM 2076.191406 1719625777.4097
MEM 2015.953125 1719625777.5133
MEM 2015.953125 1719625777.6185
MEM 2015.953125 1719625777.7226
MEM 2015.953125 1719625777.8265
MEM 2015.953125 1719625777.9305
MEM 2015.953125 1719625778.0346
MEM 2015.953125 1719625778.1385
MEM 2015.953125 1719625778.2426
MEM 2015.953125 1719625778.3471
MEM 2015.953125 1719625778.4506
MEM 2071.367188 1719625778.5515
MEM 2062.710938 1719625778.6546
MEM 2175.960938 1719625778.7556
MEM 2175.960938 1719625778.8566
MEM 2193.210938 1719625778.9585
MEM 2190.242188 1719625779.0626
MEM 2111.992188 1719625779.1666
MEM 2111.992188 1719625779.2705
MEM 2111.992188 1719625779.3786
MEM 2111.992188 1719625779.4826
MEM 2111.992188 1719625779.5866
MEM 2111.992188 1719625779.6915
MEM 2111.992188 1719625779.7946
MEM 2111.992188 1719625779.8986
MEM 2111.992188 1719625780.0026
MEM 2079.988281 1719625780.1037
MEM 2175.863281 1719625780.2048
MEM 2175.863281 1719625780.3062
MEM 2162.046875 1719625780.4065
MEM 2127.917969 1719625780.5105
MEM 2127.917969 1719625780.6131
MEM 2127.917969 1719625780.7147
MEM 2127.917969 1719625780.8157
