CMDLINE python3 train_vishwamai_model.py
MEM 1571.910156 1718984226.7698
MEM 1571.910156 1718984226.8738
MEM 1735.410156 1718984226.9779
MEM 1950.285156 1718984227.0818
MEM 2145.660156 1718984227.1858
MEM 2299.285156 1718984227.2899
MEM 2452.160156 1718984227.3939
MEM 2595.410156 1718984227.4948
MEM 2084.031250 1718984227.5956
MEM 2301.781250 1718984227.6967
MEM 2482.281250 1718984227.7976
MEM 2491.808594 1718984227.8984
MEM 2106.960938 1718984228.0020
MEM 2159.710938 1718984228.1055
MEM 2177.585938 1718984228.2059
MEM 2195.960938 1718984228.3098
MEM 2211.835938 1718984228.4141
MEM 2152.148438 1718984228.5178
MEM 2173.898438 1718984228.6218
MEM 2195.773438 1718984228.7259
MEM 2259.273438 1718984228.8269
MEM 1933.878906 1718984228.9277
MEM 1204.839844 1718984229.0285
MEM 943.519531 1718984229.1298
MEM 965.394531 1718984229.2338
MEM 987.019531 1718984229.3378
MEM 1116.269531 1718984229.4418
MEM 931.886719 1718984229.5427
MEM 994.386719 1718984229.6452
MEM 893.750000 1718984229.7498
MEM 992.625000 1718984229.8506
MEM 990.527344 1718984229.9515
MEM 976.945312 1718984230.0538
MEM 1107.828125 1718984230.1546
MEM 1003.460938 1718984230.2558
MEM 1057.835938 1718984230.3566
MEM 1076.378906 1718984230.4579
MEM 1113.878906 1718984230.5599
MEM 1246.503906 1718984230.6618
MEM 1358.128906 1718984230.7658
MEM 1464.003906 1718984230.8698
MEM 1576.003906 1718984230.9738
MEM 1681.878906 1718984231.0746
MEM 1697.007812 1718984231.1778
MEM 1922.007812 1718984231.2819
MEM 1932.351562 1718984231.3827
MEM 1571.878906 1718984231.4858
MEM 1571.878906 1718984231.5887
MEM 1661.128906 1718984231.6900
MEM 1877.878906 1718984231.7914
MEM 2077.753906 1718984231.8922
MEM 2217.378906 1718984231.9931
MEM 2376.003906 1718984232.0978
MEM 2534.628906 1718984232.2018
MEM 2217.046875 1718984232.3026
MEM 2196.996094 1718984232.4053
MEM 2413.121094 1718984232.5060
MEM 2513.839844 1718984232.6068
MEM 2135.992188 1718984232.7099
MEM 2164.367188 1718984232.8138
MEM 2182.742188 1718984232.9178
MEM 2201.367188 1718984233.0218
MEM 2158.246094 1718984233.1226
MEM 2159.371094 1718984233.2258
MEM 2178.496094 1718984233.3298
MEM 2198.496094 1718984233.4338
MEM 2254.496094 1718984233.5378
MEM 2173.976562 1718984233.6398
MEM 1469.960938 1718984233.7406
MEM 936.585938 1718984233.8414
MEM 957.710938 1718984233.9419
MEM 979.085938 1718984234.0427
MEM 1043.460938 1718984234.1458
MEM 931.910156 1718984234.2498
MEM 931.910156 1718984234.3506
MEM 986.027344 1718984234.4538
MEM 931.835938 1718984234.5547
MEM 931.835938 1718984234.6551
MEM 931.835938 1718984234.7560
MEM 867.914062 1718984234.8568
MEM 867.914062 1718984234.9577
MEM 867.914062 1718984235.0585
MEM 868.039062 1718984235.1593
MEM 868.039062 1718984235.2601
MEM 868.164062 1718984235.3609
MEM 868.164062 1718984235.4618
MEM 868.414062 1718984235.5627
MEM 868.414062 1718984235.6636
MEM 836.531250 1718984235.7644
MEM 836.656250 1718984235.8653
MEM 854.281250 1718984235.9658
MEM 867.281250 1718984236.0667
MEM 867.281250 1718984236.1675
MEM 867.406250 1718984236.2684
MEM 891.406250 1718984236.3692
MEM 891.531250 1718984236.4698
MEM 891.531250 1718984236.5704
MEM 903.656250 1718984236.6712
MEM 903.781250 1718984236.7740
MEM 927.781250 1718984236.8764
MEM 927.781250 1718984236.9773
MEM 927.906250 1718984237.0779
MEM 892.097656 1718984237.1799
MEM 892.097656 1718984237.2816
MEM 892.097656 1718984237.3826
MEM 906.597656 1718984237.4837
MEM 906.597656 1718984237.5846
MEM 906.597656 1718984237.6854
MEM 937.597656 1718984237.7884
MEM 1000.222656 1718984237.8900
MEM 1015.167969 1718984237.9908
MEM 1017.792969 1718984238.0938
MEM 1133.167969 1718984238.1979
MEM 1078.171875 1718984238.2987
MEM 1101.050781 1718984238.4018
MEM 1180.121094 1718984238.5026
MEM 1147.117188 1718984238.6051
MEM 1284.617188 1718984238.7059
MEM 1392.992188 1718984238.8098
MEM 1480.742188 1718984238.9138
MEM 1545.367188 1718984239.0178
MEM 1631.742188 1718984239.1217
MEM 1742.117188 1718984239.2258
MEM 1767.144531 1718984239.3298
MEM 1991.269531 1718984239.4338
MEM 1950.605469 1718984239.5346
MEM 1628.015625 1718984239.6378
MEM 1628.015625 1718984239.7387
MEM 1845.640625 1718984239.8396
MEM 2065.015625 1718984239.9404
MEM 2232.890625 1718984240.0418
MEM 2388.515625 1718984240.1459
MEM 2546.015625 1718984240.2498
MEM 2462.601562 1718984240.3506
MEM 2200.636719 1718984240.4538
MEM 2424.636719 1718984240.5578
MEM 2640.761719 1718984240.6587
MEM 2168.375000 1718984240.7619
MEM 2217.125000 1718984240.8659
MEM 2235.625000 1718984240.9705
MEM 2253.500000 1718984241.0738
MEM 2268.000000 1718984241.1755
MEM 2209.656250 1718984241.2778
MEM 2231.281250 1718984241.3818
MEM 2252.781250 1718984241.4858
MEM 2330.906250 1718984241.5883
MEM 1924.472656 1718984241.6895
MEM 1189.984375 1718984241.7898
MEM 1001.742188 1718984241.8907
MEM 1023.617188 1718984241.9939
MEM 1044.617188 1718984242.0978
MEM 1140.742188 1718984242.2028
MEM 988.054688 1718984242.3052
MEM 988.054688 1718984242.4058
MEM 930.757812 1718984242.5098
MEM 985.882812 1718984242.6138
MEM 995.496094 1718984242.7147
MEM 1010.746094 1718984242.8178
MEM 1112.496094 1718984242.9220
MEM 1106.753906 1718984243.0228
MEM 1096.128906 1718984243.1258
MEM 1243.753906 1718984243.2267
