CMDLINE python3 scripts/generate_text.py
MEM 2684.765625 1719623330.5405
MEM 2701.265625 1719623330.6425
MEM 2629.500000 1719623330.7451
MEM 2623.511719 1719623330.8466
MEM 2647.011719 1719623330.9474
MEM 2652.761719 1719623331.0505
MEM 2652.761719 1719623331.1545
MEM 2652.761719 1719623331.2585
MEM 2652.761719 1719623331.3612
MEM 2652.761719 1719623331.4627
MEM 2652.761719 1719623331.5635
MEM 2652.761719 1719623331.6643
MEM 2652.761719 1719623331.7651
MEM 2652.761719 1719623331.8660
MEM 2683.929688 1719623331.9666
MEM 2715.289062 1719623332.0699
MEM 2739.148438 1719623332.1706
MEM 2780.773438 1719623332.2716
MEM 2783.023438 1719623332.3745
MEM 2804.523438 1719623332.4754
MEM 2832.910156 1719623332.5762
MEM 2716.917969 1719623332.6785
MEM 2716.917969 1719623332.7826
MEM 2716.917969 1719623332.8865
MEM 2716.917969 1719623332.9905
MEM 2716.917969 1719623333.0944
MEM 2716.917969 1719623333.1986
MEM 2716.917969 1719623333.3025
MEM 2716.917969 1719623333.4065
MEM 2716.917969 1719623333.5075
MEM 2693.957031 1719623333.6106
MEM 2780.832031 1719623333.7113
MEM 2785.832031 1719623333.8121
MEM 2757.078125 1719623333.9129
MEM 2732.820312 1719623334.0137
MEM 2732.820312 1719623334.1147
MEM 2732.820312 1719623334.2155
MEM 2732.820312 1719623334.3185
MEM 2732.820312 1719623334.4196
MEM 2732.820312 1719623334.5225
MEM 2732.820312 1719623334.6265
MEM 2732.820312 1719623334.7277
MEM 2791.695312 1719623334.8289
MEM 2866.695312 1719623334.9307
MEM 2894.285156 1719623335.0346
MEM 2876.902344 1719623335.1385
MEM 3065.277344 1719623335.2426
MEM 3073.148438 1719623335.3466
MEM 2888.000000 1719623335.4506
MEM 2924.125000 1719623335.5548
MEM 2962.500000 1719623335.6589
MEM 2996.375000 1719623335.7603
MEM 3006.750000 1719623335.8611
MEM 3010.500000 1719623335.9627
MEM 3012.750000 1719623336.0637
MEM 2832.652344 1719623336.1646
MEM 2876.777344 1719623336.2706
MEM 2880.777344 1719623336.3746
MEM 2903.277344 1719623336.4754
MEM 2938.839844 1719623336.5762
MEM 2840.265625 1719623336.6785
MEM 2844.765625 1719623336.7825
MEM 2844.765625 1719623336.8865
MEM 2844.765625 1719623336.9907
MEM 2844.765625 1719623337.0942
MEM 2844.765625 1719623337.1946
MEM 2844.765625 1719623337.2986
MEM 2844.765625 1719623337.4025
MEM 2844.765625 1719623337.5066
MEM 2844.765625 1719623337.6106
MEM 2863.730469 1719623337.7117
MEM 2906.164062 1719623337.8126
MEM 2893.414062 1719623337.9146
MEM 2920.910156 1719623338.0154
MEM 2972.785156 1719623338.1164
MEM 2974.660156 1719623338.2185
MEM 2998.660156 1719623338.3194
MEM 2972.910156 1719623338.4205
MEM 2908.917969 1719623338.5225
MEM 2908.917969 1719623338.6265
MEM 2908.917969 1719623338.7306
MEM 2908.917969 1719623338.8345
MEM 2908.917969 1719623338.9385
MEM 2908.917969 1719623339.0425
MEM 2908.917969 1719623339.1465
MEM 2908.917969 1719623339.2505
MEM 2908.917969 1719623339.3545
MEM 2900.968750 1719623339.4585
MEM 2972.843750 1719623339.5626
MEM 2980.593750 1719623339.6665
MEM 2988.472656 1719623339.7706
MEM 2924.867188 1719623339.8745
MEM 2924.867188 1719623339.9775
MEM 2924.867188 1719623340.0787
MEM 2924.867188 1719623340.1826
MEM 2924.867188 1719623340.2866
MEM 2924.867188 1719623340.3905
MEM 2924.867188 1719623340.4945
MEM 2931.867188 1719623340.5969
MEM 3012.492188 1719623340.6986
MEM 3129.492188 1719623340.8026
MEM 3180.660156 1719623340.9066
MEM 3167.839844 1719623341.0106
MEM 3318.714844 1719623341.1145
MEM 3296.585938 1719623341.2186
MEM 3084.214844 1719623341.3229
MEM 3120.089844 1719623341.4265
MEM 3150.964844 1719623341.5285
MEM 3186.214844 1719623341.6306
MEM 3198.964844 1719623341.7346
MEM 3203.214844 1719623341.8386
MEM 2955.132812 1719623341.9395
MEM 3068.699219 1719623342.0426
MEM 3068.699219 1719623342.1466
MEM 3084.324219 1719623342.2505
MEM 3064.082031 1719623342.3546
MEM 3021.898438 1719623342.4585
MEM 3036.773438 1719623342.5625
MEM 3036.773438 1719623342.6665
MEM 3036.773438 1719623342.7705
MEM 3036.773438 1719623342.8745
MEM 3036.773438 1719623342.9773
MEM 3036.773438 1719623343.0825
MEM 3036.773438 1719623343.1866
MEM 3036.773438 1719623343.2905
MEM 3036.773438 1719623343.3914
MEM 3100.406250 1719623343.4940
MEM 3093.632812 1719623343.5946
MEM 3164.875000 1719623343.6986
MEM 3164.875000 1719623343.8026
MEM 3180.625000 1719623343.9065
MEM 3156.667969 1719623344.0106
MEM 3100.855469 1719623344.1115
MEM 3100.855469 1719623344.2145
MEM 3100.855469 1719623344.3185
MEM 3100.855469 1719623344.4230
MEM 3100.855469 1719623344.5265
MEM 3100.855469 1719623344.6306
MEM 3100.855469 1719623344.7345
MEM 3100.855469 1719623344.8385
MEM 3100.855469 1719623344.9425
MEM 3100.855469 1719623345.0434
MEM 3164.792969 1719623345.1467
MEM 3164.792969 1719623345.2477
MEM 3185.417969 1719623345.3485
MEM 3116.832031 1719623345.4505
MEM 3116.832031 1719623345.5545
MEM 3116.832031 1719623345.6585
MEM 3116.832031 1719623345.7625
MEM 3116.832031 1719623345.8665
MEM 3116.832031 1719623345.9745
MEM 3116.832031 1719623346.0772
MEM 3116.832031 1719623346.1782
MEM 3169.332031 1719623346.2826
MEM 3242.457031 1719623346.3866
MEM 3319.707031 1719623346.4906
MEM 3339.750000 1719623346.5944
MEM 3327.992188 1719623346.6988
MEM 3491.617188 1719623346.8026
MEM 3508.988281 1719623346.9066
MEM 3281.710938 1719623347.0083
MEM 3313.960938 1719623347.1098
MEM 3350.835938 1719623347.2112
MEM 3386.335938 1719623347.3131
MEM 3391.960938 1719623347.4186
MEM 3395.960938 1719623347.5227
MEM 3164.449219 1719623347.6253
MEM 3260.699219 1719623347.7262
MEM 3260.699219 1719623347.8304
MEM 3280.074219 1719623347.9346
MEM 3294.703125 1719623348.0386
MEM 3219.531250 1719623348.1425
MEM 3228.781250 1719623348.2465
MEM 3228.781250 1719623348.3505
MEM 3228.781250 1719623348.4545
MEM 3228.781250 1719623348.5585
MEM 3228.781250 1719623348.6625
MEM 3228.781250 1719623348.7665
MEM 3228.781250 1719623348.8705
MEM 3228.781250 1719623348.9745
MEM 3253.031250 1719623349.0771
MEM 3260.777344 1719623349.1779
MEM 3243.328125 1719623349.2787
MEM 3356.828125 1719623349.3797
MEM 3356.828125 1719623349.4805
MEM 3374.953125 1719623349.5813
MEM 3370.054688 1719623349.6826
MEM 3292.933594 1719623349.7865
MEM 3292.933594 1719623349.8906
MEM 3292.933594 1719623349.9937
MEM 3292.933594 1719623350.0985
MEM 3292.933594 1719623350.2025
MEM 3292.933594 1719623350.3033
MEM 3292.933594 1719623350.4041
MEM 3292.933594 1719623350.5050
MEM 3292.933594 1719623350.6058
